"reporting_month","concat","monthly_reservation_days","avg_occupancy_rate","avg_revenue"
"2022-11","Camper/RV - entire_home","23","53.85","950.50"
"2022-12","Camper/RV - entire_home","13","65.80","1151.50"
"2023-01","Camper/RV - entire_home","1","100.00","247.00"
"2023-02","Camper/RV - entire_home","6","36.65","682.50"
"2023-03","Camper/RV - entire_home","6","19.30","166.00"
"2023-04","Camper/RV - entire_home","25","60.60","632.50"
"2023-05","Camper/RV - entire_home","12","49.70","780.00"
"2023-06","Camper/RV - entire_home","21","100.00","1386.00"
"2023-07","Camper/RV - entire_home","33","83.40","821.00"
"2023-08","Camper/RV - entire_home","75","71.23","1865.00"
"2023-09","Camper/RV - entire_home","50","49.53","2077.75"
"2023-10","Camper/RV - entire_home","28","55.05","2285.00"
"2023-06","Dome - entire_home","13","97.50","1313.00"
"2023-07","Dome - entire_home","30","100.00","3090.00"
"2023-08","Dome - entire_home","30","100.00","3180.00"
"2023-09","Dome - entire_home","25","100.00","2650.00"
"2023-10","Dome - entire_home","25","96.80","2600.00"
"2022-11","Entire apartment - entire_home","12","45.35","2314.00"
"2022-12","Entire apartment - entire_home","3","45.00","1332.00"
"2023-01","Entire apartment - entire_home","6","26.75","1215.00"
"2023-02","Entire apartment - entire_home","5","27.30","1650.00"
"2023-03","Entire apartment - entire_home","4","80.00","2065.00"
"2023-04","Entire apartment - entire_home","41","83.73","10630.33"
"2023-05","Entire apartment - entire_home","57","76.87","10230.00"
"2023-06","Entire apartment - entire_home","37","75.57","8496.67"
"2023-07","Entire apartment - entire_home","26","71.98","2473.20"
"2023-08","Entire apartment - entire_home","42","66.18","5004.25"
"2023-09","Entire apartment - entire_home","15","60.00","6795.00"
"2022-11","Entire bungalow - entire_home","4","50.00","1123.00"
"2023-02","Entire bungalow - entire_home","12","43.35","1272.00"
"2023-03","Entire bungalow - entire_home","24","53.93","2020.00"
"2023-04","Entire bungalow - entire_home","66","71.56","2461.71"
"2023-05","Entire bungalow - entire_home","74","65.13","3268.83"
"2023-06","Entire bungalow - entire_home","82","86.80","3969.20"
"2023-07","Entire bungalow - entire_home","96","78.58","4024.83"
"2023-08","Entire bungalow - entire_home","72","68.46","2123.86"
"2023-09","Entire bungalow - entire_home","99","83.66","3431.40"
"2023-10","Entire bungalow - entire_home","63","60.98","2476.25"
"2022-11","Entire cabin - entire_home","77","43.18","1496.67"
"2022-12","Entire cabin - entire_home","98","57.81","1813.33"
"2023-01","Entire cabin - entire_home","85","46.71","1255.57"
"2023-02","Entire cabin - entire_home","80","60.72","1583.00"
"2023-03","Entire cabin - entire_home","56","45.88","1253.40"
"2023-04","Entire cabin - entire_home","105","61.58","1759.63"
"2023-05","Entire cabin - entire_home","88","59.23","1551.25"
"2023-06","Entire cabin - entire_home","134","64.68","2377.22"
"2023-07","Entire cabin - entire_home","150","83.76","2799.67"
"2023-08","Entire cabin - entire_home","204","86.51","2285.77"
"2023-09","Entire cabin - entire_home","199","70.66","2673.00"
"2023-10","Entire cabin - entire_home","125","45.07","1809.64"
"2022-11","Entire chalet - entire_home","5","20.70","487.00"
"2022-12","Entire chalet - entire_home","19","78.60","1814.00"
"2023-01","Entire chalet - entire_home","23","92.00","2142.00"
"2023-02","Entire chalet - entire_home","17","75.60","1548.00"
"2023-03","Entire chalet - entire_home","1","100.00","74.00"
"2023-06","Entire chalet - entire_home","8","38.40","802.00"
"2023-07","Entire chalet - entire_home","22","85.20","2044.00"
"2023-08","Entire chalet - entire_home","20","96.00","1850.00"
"2023-09","Entire chalet - entire_home","26","100.00","2236.00"
"2023-10","Entire chalet - entire_home","18","69.70","1494.00"
"2022-11","Entire condo - entire_home","1923","55.39","1708.52"
"2022-12","Entire condo - entire_home","1935","60.27","1894.65"
"2023-01","Entire condo - entire_home","1582","50.24","1073.89"
"2023-02","Entire condo - entire_home","2941","59.75","1525.06"
"2023-03","Entire condo - entire_home","3608","55.61","1725.29"
"2023-04","Entire condo - entire_home","4481","69.42","2431.34"
"2023-05","Entire condo - entire_home","4506","62.07","2469.80"
"2023-06","Entire condo - entire_home","5539","70.93","2767.24"
"2023-07","Entire condo - entire_home","7092","83.20","3588.12"
"2023-08","Entire condo - entire_home","7918","76.48","3219.51"
"2023-09","Entire condo - entire_home","7670","76.35","3229.89"
"2023-10","Entire condo - entire_home","5119","61.59","2455.85"
"2022-11","Entire cottage - entire_home","183","57.18","2767.35"
"2022-12","Entire cottage - entire_home","237","67.89","3643.44"
"2023-01","Entire cottage - entire_home","188","58.98","3174.36"
"2023-02","Entire cottage - entire_home","182","63.78","2796.80"
"2023-03","Entire cottage - entire_home","205","53.91","3383.31"
"2023-04","Entire cottage - entire_home","230","67.72","3703.11"
"2023-05","Entire cottage - entire_home","327","67.93","4919.38"
"2023-06","Entire cottage - entire_home","343","72.19","4780.86"
"2023-07","Entire cottage - entire_home","403","85.92","4811.15"
"2023-08","Entire cottage - entire_home","388","72.87","4720.81"
"2023-09","Entire cottage - entire_home","375","61.37","4101.42"
"2023-10","Entire cottage - entire_home","283","51.33","3357.38"
"2022-11","Entire guest suite - entire_home","216","57.82","1292.76"
"2022-12","Entire guest suite - entire_home","220","70.96","1338.88"
"2023-01","Entire guest suite - entire_home","169","58.06","1153.93"
"2023-02","Entire guest suite - entire_home","292","73.10","1645.50"
"2023-03","Entire guest suite - entire_home","340","65.59","1618.68"
"2023-04","Entire guest suite - entire_home","387","76.43","1813.17"
"2023-05","Entire guest suite - entire_home","400","72.04","1862.04"
"2023-06","Entire guest suite - entire_home","414","73.18","1831.39"
"2023-07","Entire guest suite - entire_home","503","84.94","2818.69"
"2023-08","Entire guest suite - entire_home","543","82.07","2356.38"
"2023-09","Entire guest suite - entire_home","526","77.95","2123.81"
"2023-10","Entire guest suite - entire_home","400","63.36","1649.71"
"2022-11","Entire guesthouse - entire_home","169","58.39","1294.00"
"2022-12","Entire guesthouse - entire_home","163","63.96","1482.31"
"2023-01","Entire guesthouse - entire_home","78","47.24","832.40"
"2023-02","Entire guesthouse - entire_home","98","53.05","855.64"
"2023-03","Entire guesthouse - entire_home","126","39.14","872.21"
"2023-04","Entire guesthouse - entire_home","209","66.53","1592.88"
"2023-05","Entire guesthouse - entire_home","186","59.27","1503.00"
"2023-06","Entire guesthouse - entire_home","244","66.89","1565.06"
"2023-07","Entire guesthouse - entire_home","301","83.36","2157.24"
"2023-08","Entire guesthouse - entire_home","386","78.76","2017.83"
"2023-09","Entire guesthouse - entire_home","360","70.56","2123.75"
"2023-10","Entire guesthouse - entire_home","321","65.33","1861.79"
"2022-11","Entire home - entire_home","1893","53.38","3344.52"
"2022-12","Entire home - entire_home","2145","64.06","4174.57"
"2023-01","Entire home - entire_home","1674","50.23","2640.07"
"2023-02","Entire home - entire_home","2428","55.44","2942.74"
"2023-03","Entire home - entire_home","2718","54.66","3264.27"
"2023-04","Entire home - entire_home","3669","68.37","4712.64"
"2023-05","Entire home - entire_home","3578","60.94","4705.26"
"2023-06","Entire home - entire_home","4572","69.80","4852.68"
"2023-07","Entire home - entire_home","6389","79.12","6279.12"
"2023-08","Entire home - entire_home","8375","77.91","5893.68"
"2023-09","Entire home - entire_home","7207","71.61","5822.96"
"2023-10","Entire home - entire_home","5549","58.87","5043.99"
"2023-08","Entire home/apt - entire_home","5","75.00","1440.00"
"2023-09","Entire home/apt - entire_home","6","24.00","1152.00"
"2023-10","Entire home/apt - entire_home","5","19.40","870.00"
"2023-05","Entire house - entire_home","1","40.00","687.00"
"2023-06","Entire house - entire_home","2","100.00","922.00"
"2023-07","Entire house - entire_home","0","0.00","0.00"
"2022-11","Entire loft - entire_home","54","70.20","1068.29"
"2022-12","Entire loft - entire_home","67","57.90","1792.40"
"2023-01","Entire loft - entire_home","46","48.70","1099.50"
"2023-02","Entire loft - entire_home","67","68.01","1639.14"
"2023-03","Entire loft - entire_home","86","61.64","2507.71"
"2023-04","Entire loft - entire_home","163","65.83","2530.91"
"2023-05","Entire loft - entire_home","162","65.51","2366.45"
"2023-06","Entire loft - entire_home","159","66.33","2457.82"
"2023-07","Entire loft - entire_home","195","81.37","3488.90"
"2023-08","Entire loft - entire_home","228","71.20","2563.64"
"2023-09","Entire loft - entire_home","215","74.08","2541.08"
"2023-10","Entire loft - entire_home","204","63.67","2142.00"
"2022-11","Entire place - entire_home","68","54.68","2176.50"
"2022-12","Entire place - entire_home","95","63.75","3065.50"
"2023-01","Entire place - entire_home","81","50.87","2652.17"
"2023-02","Entire place - entire_home","129","64.03","2006.40"
"2023-03","Entire place - entire_home","118","47.45","1705.45"
"2023-04","Entire place - entire_home","171","81.39","2231.55"
"2023-05","Entire place - entire_home","182","70.07","2596.82"
"2023-06","Entire place - entire_home","188","74.37","2927.64"
